A2_District	gender resp	age	Head_Household	educ	HH women	HH girls	HH men	HH boys	girls_school	boys_school	marital	residency	income	employment	income_source	A15 CFW	A15 Unconditional cash transfer	A15 Water supply	A15 Training	A15 Hygiene education	A15  Improved sanitation	A15 Agricultural support	A15 GBV support	disabled	disabled_HH	received_cash	persone_sick	B1_own_land	B1_AcresOwned	B3 Maize	B3 Beans	B3 Tomatoes	B3 other	B4 Maize_seeds	B4 Beans_seeds	B4 tomatoes_seeds	B4 other_seeds	B5 Maize_source	B5 Beans_Source	B5 tomatoes_source	B5 Other_source	B7 MaizeAcres	B7 Acres Beans	B7 Acres Tomatoes	B7 Acres Other	B8 MaizeEnough	B8 BeansEnough	B8 tomatoEnough	B8 OtherEnough	B9 Maize_fert	B9 Beans_fert	B9 Tom_fert	B9 other_fert	B15 Maize_fert_AVSI	B15 Bean_fert_AVSI	B15 tomatoes_fert_AVSI	B15 Other_fert_AVSI	B19 Modern agricultural practices	B19 Harvesting and post-harvesting handling	B19 Use of agricultural inputs	B19 Fertilizer application	B19 Soil erosion control	B19 Pest management	B19 Other training	B20_AVSI_equip	Equipment received	B25_FishFarm	C1_AVSI_CFW	D1_received_CT	E1_MainsourceWaterDry	E1_MainsourceWaterRainy	E3_Time_Water_Rainy	E4_Time_Water_Dry	E5_liters_per_day	E6_Boreholes_village	dry jan	dry feb	dry mar	dry apr	dry may	dry jun	dry jul	dry aug	dry sep	dry oct	dry nov	dry dec	E7_Water_treatment_kits	E9_sanitation	E10_people_per_toil	E11_latrines_proj	E12_Women_men_sep	E13_School_toil	E14_Toil_solar	latrines_OK	E15 Before preparing meals	E15 Before serving food	E15 Before eating	E15 Before feeding a baby	E15 After cleaning the baby of the feaces	E15 After using the toilet	E15 After handling garbage	E15 After playing with children	E16_Handwahs_why	E17_wash_with_what	E18_used_toil_lasttime	E19_covidTraning	E20 Jerry can	E20 Soap	E20 towel	E20 Underwear	E20 Nail cutter/clipper	E20 Comb	E21_heard_radio_Hygmess	E22_WasteManagement	feedback_text	category	A3_Village	girls_school_%	boys_school_%	gender HHH	age HHH	HH Total	income_per_member
Kismayo	Male	25	Yes	No education	1	1	1	2	1	1	Married	IDP	120	Unemployed	Land cultivation	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	4.0	Yes	Yes	Yes	Water melon	Improved	Improved	Improved	Improved	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	0.1	0.1	0.1	0.1	No	No	No	No	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	Local agro-dealer/local market	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Ax
2. Shovel
3.  Pick"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	120	160	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	15	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Istanbul	1.0	0.5	Male	25	5	24.0
Kismayo	Female	55	No	Some Primary	1	5	1	3	2	2	Married	Host Community	150	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Fork
2. Shovel 
3. hand pick"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	15	120	80	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	10	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	QamQam	0.4	0.6666666666666666	Male	70	10	15.0
Kismayo	Female	30	Yes	Completed primary	2	6	0	4	4	2	Widower	IDP	150	Self-employed	Casual employment	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	5.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Forks 
2. Shovel
3. Ax"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	120	120	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	12	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	No	No	To be clean	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	0	Hygiene/NFI Kits distribution	Daif	0.6666666666666666	0.5	Female	30	12	12.5
Kismayo	Female	45	No	No education	1	3	1	1	0	1	Married	IDP	120	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	3.0	Yes	Yes	Yes	Saseme	Improved	Improved	Improved	Improved	Received from AVSI	Received from AVSI	Received from AVSI	Received from AVSI	0.2	0.2	0.2	0.2	No	No	No	No	Received from AVSI	Received from AVSI	Received from AVSI	Received from AVSI	2	2	2	2	No	No	No	No	No	No	No	Yes	"1. Shovel
2. Ax
3. Fork"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	120	180	1	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	10	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	Daif	0.0	1.0	Male	70	6	20.0
Kismayo	Female	50	No	No education	1	3	1	4	1	1	Married	Host Community	120	Unemployed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	30	120	2	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	15	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Hygiene/NFI Kits distribution	QamQam	0.3333333333333333	0.25	Male	70	9	13.333333333333334
Kismayo	Male	50	Yes	No education	1	4	1	4	4	4	Married	IDP	150	Unemployed	Casual employment	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	4.0	Yes	Yes	Yes	Sasemi	Improved	Improved	Improved	Improved	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0.1	0.1	0.1	0.1	No	No	No	No	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Fork 
2. Shovel
3. Ax
4. Pick up"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	40	100	3	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	10	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	Hygiene/NFI Kits distribution	Istanbul	1.0	1.0	Male	50	10	15.0
Kismayo	Female	34	No	No education	1	2	1	4	1	1	Married	Host Community	50	Unemployed	Aid	No	Yes	No	No	No	Yes	No	No	Yes	Yes	Yes	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	30	40	80	2	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Pit latrine	17	Yes	No	Yes	No	Yes	No	No	Yes	Yes	No	No	No	No	To reduces spread/ transmission of disease	Water alone	Yes	Yes	No	No	No	No	No	No	Yes	Yes	0	PLWD for UCT	Haji Weyne	0.5	0.25	Male	40	8	6.25
Kismayo	Male	39	Yes	No education	1	1	1	3	0	0	Married	Host Community	90	Unemployed	Casual employment	No	Yes	No	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	20	30	60	1	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	12	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	To be healthy	Water alone	Yes	No	No	No	No	No	No	No	Yes	Yes	0	PLWD for UCT	Daif	0.0	0.0	Male	39	6	15.0
Kismayo	Male	35	Yes	No education	1	1	1	4	0	0	Married	Host Community	90	Unemployed	Casual employment	No	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	40	50	80	2	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Pit latrine	12	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	To be clean	With water and ash	Yes	Yes	No	No	No	No	No	No	Yes	No	0	PLWD for UCT	Gobweyn	0.0	0.0	Male	35	7	12.857142857142858
Kismayo	Female	39	Yes	No education	1	2	1	1	0	0	Married	Host Community	60	Unemployed	Casual employment	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	40	50	70	1	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Pit latrine	17	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	To reduces spread/ transmission of disease	With water and ash	Yes	Yes	No	No	No	No	No	No	Yes	Yes	0	PLWD for UCT	Haji Weyne	0.0	0.0	Female	39	5	12.0
Kismayo	Female	65	Yes	No education	2	4	1	5	2	2	Married	Host Community	60	Self-employed	Casual employment	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	24.7105	No	No	Yes	0	0	0	Recycled	0	0	0	Saved from own harvest	0	0.0	0.0	1.23553	0.0	0	0	No	0	0	0	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Protected dug well	Protected dug well	20	20	100	2	Yes	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Pit latrine	12	No	No	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	To be healthy	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Yontoy	0.5	0.4	Female	65	12	5.0
Kismayo	Male	55	Yes	Some Primary	1	3	1	3	1	1	Married	Host Community	100	Self-employed	Land cultivation	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	4.94211	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	3.70658	3.70658	3.70658	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Protected dug well	Protected dug well	20	20	100	1	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Pit latrine	10	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals	Supply of pesticide and multi vitamins treatments for farm animals	Yontoy	0.3333333333333333	0.3333333333333333	Male	55	8	12.5
Kismayo	Female	38	Yes	Some Primary	1	2	2	7	1	4	Married	Host Community	120	Self-employed	Land cultivation	No	No	No	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	17.2974	Yes	Yes	Yes	0	Recycled	Recycled	Recycled	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	1.23553	1.23553	1.23553	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	No	0	No	No	No	Protected dug well	Protected dug well	20	20	100	1	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	12	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	0.5	0.5714285714285714	Female	38	12	10.0
Kismayo	Female	29	Yes	Some Primary	1	2	1	3	1	1	Married	Host Community	185	Self-employed	Land cultivation	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	4.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	No	No	No	No	No	No	Yes	Supply of pesticide and multi vitamins treatments for farm animals	No	No	No	Unprotected dug well	Unprotected dug well	120	120	40	1	No	No	No	No	No	Yes	No	No	No	No	No	No	No	Pit latrine	8	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Supply of pesticide and multi vitamins treatments for farm animals	QamQam	0.5	0.3333333333333333	Female	29	7	26.428571428571427
Kismayo	Male	50	Yes	No education	2	1	2	4	0	0	Married	Returnee	80	Unemployed	Casual employment	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Public tap/standpipe	Public tap/standpipe	30	17	50	1	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	Pit latrine	19	Yes	No	No	Yes	Yes	No	No	Yes	No	No	No	No	No	To be healthy	With water and ash	Yes	Yes	No	No	No	No	No	No	Yes	Yes	0	PLWD for UCT	QamQam	0.0	0.0	Male	50	9	8.88888888888889
Kismayo	Female	50	Yes	No education	2	3	2	2	3	3	Married	IDP	100	Self-employed	Land cultivation	No	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	9.88422	No	No	Yes	0	0	0	Recycled	0	0	0	Given by relatives/friends	0	0.0	0.0	1.23553	0.0	0	0	No	0	0	0	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Tube well/borehole	Tube well/borehole	30	30	120	1	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	8	No	No	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	1.0	1.5	Female	50	9	11.11111111111111
Kismayo	Female	38	Yes	Some Primary	2	3	1	4	3	4	Married	Host Community	200	Self-employed	Land cultivation	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	Yes	3.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.0	1.0	1.0	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	No	No	No	No	No	Yes	Farming tools and Supply of pesticide and multivitamins treatments for farm animals	No	No	No	Unprotected dug well	Unprotected dug well	130	130	40	1	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Pit latrine	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Supply of pesticide and multi vitamins treatments for farm animals	Daif	1.0	1.0	Female	38	10	20.0
Kismayo	Male	67	Yes	Some Primary	2	2	2	1	0	1	Married	Host Community	150	Self-employed	Land cultivation	No	No	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	49.4211	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.47105	2.47105	2.47105	0.0	No	No	No	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Protected dug well	Protected dug well	20	30	80	3	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Pit latrine	8	No	No	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No	No	To be healthy	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	0.0	1.0	Male	67	7	21.428571428571427
Kismayo	Male	54	Yes	No education	1	3	1	1	1	1	Married	Host Community	70	Unemployed	Casual employment	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	Yes	Public tap/standpipe	Public tap/standpipe	50	40	60	1	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	Pit latrine	19	Yes	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	To be healthy	With water and ash	Yes	Yes	No	No	No	No	No	No	Yes	Yes	0	PLWD for UCT	Bulo Gaduud 	0.3333333333333333	1.0	Male	54	6	11.666666666666666
Kismayo	Female	35	No	No education	1	4	1	4	3	3	Married	IDP	80	Self-employed	Land cultivation	No	No	No	Yes	Yes	No	No	No	No	No	No	Yes	Yes	19.7684	Yes	Yes	Yes	0	Recycled	Recycled	Recycled	0	Saved from own harvest	Saved from own harvest	Saved from own harvest	0	2.47105	2.47105	2.47105	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Protected dug well	Protected dug well	60	60	100	3	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Pit latrine	0	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	To be healthy	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Safdheer Saahil	0.75	0.75	Male	52	10	8.0
Kismayo	Female	36	No	Some Primary	1	3	1	2	1	1	Married	Host Community	135	Self-employed	Land cultivation	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	0.0				0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Unprotected dug well	Unprotected dug well	120	120	35	1	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Pit latrine	13	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Supply of pesticide and multi vitamins treatments for farm animals	Daif	0.3333333333333333	0.5	Male	41	7	19.285714285714285
Kismayo	Female	32	No	Some Primary	1	3	2	2	1	1	Married	Host Community	100	Self-employed	Casual employment	No	No	Yes	No	Yes	Yes	No	No	No	No	No	Yes	Yes	14.8263	Yes	Yes	Yes	0	Recycled	Recycled	Recycled	0	Saved from own harvest	Saved from own harvest	Saved from own harvest	0	1.23553	1.23553	1.23553	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Tube well/borehole	Tube well/borehole	20	20	80	2	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	Pit latrine	10	No	No	No	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	0.3333333333333333	0.5	Male	55	8	12.5
Kismayo	Male	26	Yes	No education	1	3	1	2	1	2	Married	Returnee	60	Self-employed	Casual employment	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	24.7105	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1.23553	1.23553	1.23553	0.0	No	No	No	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	No	No	No	No	No	No	Yes	HAND SICKLE, SHOVEL & SPADE, AXE, PICKAXE and HOE	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	30	60	60	1	Yes	Yes	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Pit latrine	15	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	No	No	No	No	No	Yes	Yes	The respondent didnt involve in animal treatment as part of this project	Supply of pesticide and multi vitamins treatments for farm animals	Haji Weyne	0.3333333333333333	1.0	Male	26	7	8.571428571428571
Kismayo	Female	70	Yes	No education	3	0	2	1	2	1	Married	IDP	100	Self-employed	Casual employment	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes	4.94211	Yes	No	No	0	Recycled	0	0	0	Saved from own harvest	0	0	0	1.23553	0.0	0.0	0.0	No	0	0	0	Given by relatives/friends	0	0	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Tube well/borehole	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	30	60	60	2	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Pit latrine	20	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	To be healthy	With water and soap	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	The respondent participated in the Supply of pesticide and multivitamins treatments for farm animals.	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	0.0	1.0	Female	70	6	16.666666666666668
Kismayo	Female	60	Yes	No education	4	0	6	0	1	2	Widower	Host Community	200	Self-employed	Land cultivation	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	10.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	0.01	0.01	0.01	0.0	No	No	No	0	Received from AVSI	Received from AVSI	Received from AVSI	0	3	3	3	0	No	No	No	No	No	No	No	Yes	"1. Fork
2. Shovel 
3. Ax
4. Hoe"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Piped water to yard/plot	10	10	120	2	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Pit latrine	15	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	No	No	No	No	No	No	Yes	No	0	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	0.0	0.0	Female	60	10	20.0
Kismayo	Male	50	Yes	Some Primary	1	3	1	7	1	7	Married	Returnee	150	Self-employed	Land cultivation	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	4.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	Yes	"1. Fork
2. Shovel 
3. Ax
4. Hoe"	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Rainwater collection	10	40	120	1	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	15	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Supply of donkeys with a cart for the transport of agricultural products	QamQam	0.3333333333333333	1.0	Male	50	12	12.5
Kismayo	Male	56	Yes	No education	2	3	1	4	3	4	Married	Host Community	200	Self-employed	Land cultivation	No	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No	Yes	6.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Received from AVSI	Received from AVSI	Received from AVSI	0	2.0	2.0	2.0	0.0	Yes	Yes	Yes	0	Received from AVSI	Received from AVSI	Received from AVSI	0	1	1	1	0	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Treatment for farm animals	No	No	No	Unprotected dug well	Unprotected dug well	120	120	30	1	No	No	No	No	No	Yes	No	No	No	No	No	No	No	Pit latrine	9	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	Supply of pesticide and multi vitamins treatments for farm animals	Bulo Gaduud 	1.0	1.0	Male	56	10	20.0
Kismayo	Female	32	No	Completed primary	1	2	1	3	2	2	Married	Host Community	150	Self-employed	Land cultivation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	40.0	Yes	Yes	Yes	0	Improved	Improved	Improved	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0.1	0.1	0.1	0.0	No	No	No	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	0	0	0	No	No	No	No	No	No	No	No	0	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	20	20	120	1	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Pit latrine	15	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	To reduces spread/ transmission of disease	With water and sand	Yes	Yes	No	No	No	No	No	No	Yes	No	0	Supply of pesticide and multi vitamins treatments for farm animals	Gobweyn	1.0	0.6666666666666666	Male	50	7	21.428571428571427
